position;label;team;probability;fifa_rank;elo_rating
1;Campeon;Argentina;0,14;2;2113,0
2;Subcampeon;Portugal;0,0542;7;1976,0
3;Tercer lugar;Spain;0,065;3;2171,0
4;Cuarto lugar;Norway;0,0414;19;1922,0
